"Carimbo de data/hora","Quanto tempo em média você leva para chegar no trabalho? (Minutos)","Qual é a distância percorrida? (Km)","Qual meio de transporte você utiliza para chegar ao trabalho?"
"2019/02/23 11:43:19 AM GMT-3","70","25","Onibus;Trem / Metro"
"2019/02/23 11:48:07 AM GMT-3","50","0","Trem / Metro"
"2019/02/23 11:48:36 AM GMT-3","40","0","Onibus;Trem / Metro"
"2019/02/23 11:52:46 AM GMT-3","40","0","Onibus;Trem / Metro"
"2019/02/23 11:53:28 AM GMT-3","60","","Onibus;Trem / Metro"
"2019/02/23 11:54:10 AM GMT-3","60","30","Onibus"
"2019/02/23 11:54:47 AM GMT-3","10","2","Onibus;Trem / Metro"
"2019/02/23 11:55:35 AM GMT-3","60","20","Onibus;Trem / Metro"
"2019/02/23 12:26:35 PM GMT-3","90","0","Onibus;Trem / Metro"
"2019/02/23 12:27:18 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:27:38 PM GMT-3","90","","Onibus;Trem / Metro"
"2019/02/23 12:27:45 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:27:56 PM GMT-3","90","","Onibus;Trem / Metro"
"2019/02/23 12:28:07 PM GMT-3","90","20","Onibus;Trem / Metro"
"2019/02/23 12:28:21 PM GMT-3","100","0","Onibus;Trem / Metro"
"2019/02/23 12:28:26 PM GMT-3","120","","Onibus;Trem / Metro"
"2019/02/23 12:28:50 PM GMT-3","30","0","Trem / Metro"
"2019/02/23 12:29:00 PM GMT-3","60","0","Onibus"
"2019/02/23 12:29:14 PM GMT-3","60","","Onibus;Trem / Metro"
"2019/02/23 12:29:38 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:29:53 PM GMT-3","40","10","Onibus"
"2019/02/23 12:29:57 PM GMT-3","150","0","Onibus;Trem / Metro"
"2019/02/23 12:30:41 PM GMT-3","40","","Trem / Metro"
"2019/02/23 12:30:43 PM GMT-3","90","0","Onibus;Trem / Metro"
"2019/02/23 12:31:13 PM GMT-3","100","","Onibus;Trem / Metro"
"2019/02/23 12:31:27 PM GMT-3","120","0","Onibus"
"2019/02/23 12:31:36 PM GMT-3","40","","Trem / Metro;Carro"
"2019/02/23 12:31:49 PM GMT-3","80","","Onibus;Trem / Metro"
"2019/02/23 12:32:03 PM GMT-3","80","0","Onibus;Trem / Metro"
"2019/02/23 12:32:29 PM GMT-3","90","0","Onibus;Trem / Metro"
"2019/02/23 12:33:02 PM GMT-3","90","0","Onibus;Trem / Metro"
"2019/02/23 12:33:16 PM GMT-3","90","0","Onibus;Trem / Metro"
"2019/02/23 12:33:31 PM GMT-3","120","20","Onibus;Trem / Metro"
"2019/02/23 12:33:38 PM GMT-3","90","12","Onibus;Trem / Metro"
"2019/02/23 12:33:43 PM GMT-3","90","0","Onibus;Trem / Metro"
"2019/02/23 12:34:04 PM GMT-3","30","0","Onibus;Trem / Metro"
"2019/02/23 12:34:13 PM GMT-3","60","9","Trem / Metro"
"2019/02/23 12:34:40 PM GMT-3","70","14","Onibus;Trem / Metro"
"2019/02/23 12:35:09 PM GMT-3","50","0","Trem / Metro"
"2019/02/23 12:35:10 PM GMT-3","40","5","Trem / Metro"
"2019/02/23 12:35:35 PM GMT-3","150","","Onibus;Trem / Metro"
"2019/02/23 12:35:35 PM GMT-3","5","0","Andando"
"2019/02/23 12:36:27 PM GMT-3","80","10","Onibus;Trem / Metro"
"2019/02/23 12:36:40 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:36:50 PM GMT-3","90","","Onibus;Trem / Metro"
"2019/02/23 12:37:21 PM GMT-3","120","","Onibus;Trem / Metro"
"2019/02/23 12:37:45 PM GMT-3","120","15","Onibus;Trem / Metro"
"2019/02/23 12:38:00 PM GMT-3","110","18","Onibus;Trem / Metro"
"2019/02/23 12:38:21 PM GMT-3","90","0","Onibus"
"2019/02/23 12:39:07 PM GMT-3","40","","Onibus"
"2019/02/23 12:39:29 PM GMT-3","30","4","Onibus;Carro"
"2019/02/23 12:39:42 PM GMT-3","180","","Onibus;Trem / Metro"
"2019/02/23 12:40:05 PM GMT-3","30","","Trem / Metro"
"2019/02/23 12:40:30 PM GMT-3","90","","Onibus;Trem / Metro"
"2019/02/23 12:40:35 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:40:52 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:41:28 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:43:09 PM GMT-3","60","0","Onibus;Trem / Metro"
"2019/02/23 12:43:28 PM GMT-3","60","0","Onibus"
"2019/02/23 12:43:42 PM GMT-3","135","30","Onibus;Trem / Metro;Monotrilho"
"2019/02/23 12:44:20 PM GMT-3","30","12","Trem / Metro"
"2019/02/23 12:44:23 PM GMT-3","120","0","Onibus;Trem / Metro"
"2019/02/23 12:44:41 PM GMT-3","69","0","Onibus"
"2019/02/23 12:45:00 PM GMT-3","90","0","Onibus"
"2019/02/23 12:45:25 PM GMT-3","120","0","Onibus"
"2019/02/23 12:48:02 PM GMT-3","75","","Onibus;Trem / Metro"
"2019/02/23 12:49:00 PM GMT-3","80","","Onibus"
"2019/02/23 12:49:31 PM GMT-3","40","8","Trem / Metro"
"2019/02/23 12:50:01 PM GMT-3","40","6","Onibus"
"2019/02/23 12:51:18 PM GMT-3","120","90","Carro"